No,Name,city,review_url
1,道後温泉　八千代,愛媛県,https://travel.rakuten.co.jp/HOTEL/166206/166206.html,https://review.travel.rakuten.co.jp/hotel/voice/166206/18866465
2,道後温泉　八千代,愛媛県,https://travel.rakuten.co.jp/HOTEL/166206/166206.html,https://review.travel.rakuten.co.jp/hotel/voice/166206/18856097
3,道後温泉　八千代,愛媛県,https://travel.rakuten.co.jp/HOTEL/166206/166206.html,https://review.travel.rakuten.co.jp/hotel/voice/166206/17106510
4,伊勢志摩の絶景　鳥羽グランドホテル,三重県,https://travel.rakuten.co.jp/HOTEL/19190/19190.html,https://review.travel.rakuten.co.jp/hotel/voice/19190/20083611
5,伊勢志摩の絶景　鳥羽グランドホテル,三重県,https://travel.rakuten.co.jp/HOTEL/19190/19190.html,https://review.travel.rakuten.co.jp/hotel/voice/19190/18658328
6,伊勢志摩の絶景　鳥羽グランドホテル,三重県,https://travel.rakuten.co.jp/HOTEL/19190/19190.html,https://review.travel.rakuten.co.jp/hotel/voice/19190/18172860
7,宇奈月温泉　延対寺荘,富山県,https://travel.rakuten.co.jp/HOTEL/4804/4804.html,https://review.travel.rakuten.co.jp/hotel/voice/4804/20188633
8,宇奈月温泉　延対寺荘,富山県,https://travel.rakuten.co.jp/HOTEL/4804/4804.html,https://review.travel.rakuten.co.jp/hotel/voice/4804/19205448
9,宇奈月温泉　延対寺荘,富山県,https://travel.rakuten.co.jp/HOTEL/4804/4804.html,https://review.travel.rakuten.co.jp/hotel/voice/4804/18405242
10,下田温泉　黒船ホテル,静岡県,https://travel.rakuten.co.jp/HOTEL/1307/1307.html,https://review.travel.rakuten.co.jp/hotel/voice/1307/18701470
11,下田温泉　黒船ホテル,静岡県,https://travel.rakuten.co.jp/HOTEL/1307/1307.html,https://review.travel.rakuten.co.jp/hotel/voice/1307/17057710
12,下田温泉　黒船ホテル,静岡県,https://travel.rakuten.co.jp/HOTEL/1307/1307.html,https://review.travel.rakuten.co.jp/hotel/voice/1307/16196069
13,すすきのグランベルホテル,北海道,https://travel.rakuten.co.jp/HOTEL/182562/182562.html,https://review.travel.rakuten.co.jp/hotel/voice/182562/19272886
14,すすきのグランベルホテル,北海道,https://travel.rakuten.co.jp/HOTEL/182562/182562.html,https://review.travel.rakuten.co.jp/hotel/voice/182562/19147948
15,すすきのグランベルホテル,北海道,https://travel.rakuten.co.jp/HOTEL/182562/182562.html,https://review.travel.rakuten.co.jp/hotel/voice/182562/19007652
16,開花亭〜全室露天・内湯付き離れの宿,大分県,https://travel.rakuten.co.jp/HOTEL/137975/137975.html,https://review.travel.rakuten.co.jp/hotel/voice/137975/19298515
17,開花亭〜全室露天・内湯付き離れの宿,大分県,https://travel.rakuten.co.jp/HOTEL/137975/137975.html,https://review.travel.rakuten.co.jp/hotel/voice/137975/17414585
18,開花亭〜全室露天・内湯付き離れの宿,大分県,https://travel.rakuten.co.jp/HOTEL/137975/137975.html,https://review.travel.rakuten.co.jp/hotel/voice/137975/17032258
